,Incident.month,Incident.year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.length.m,Provoked/unprovoked,No.sharks,Victim.activity,Present.at.time.of.bite,Shark.behaviour,Injury.location,Injury.severity,Victim.gender,Victim.age,Diversionary.action.taken,Time.of.incident,Data.source,Shark.name
79,1,1882,injured,WA,-17.983333333333334,122.23333333333333,coastal,Unknown,provoked,Unknown,snorkeling,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
80,4,1882,fatal,NSW,-33.083333333333336,151.65,deep_coast,Unknown,unprovoked,1,Unknown,[],bit victim on torso,['torso'],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
81,5,1882,injured,NSW,-33.85,151.2,coastal,Unknown,unprovoked,1,swimming,['boating'],bit victim on leg,['calf'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
82,5,1882,fatal,WA,-15.883333333333333,122.0,coastal,Unknown,provoked,1,snorkeling,['fishing'],bit victim on torso,['torso'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
83,12,1882,fatal,WA,-17.983333333333334,122.23333333333333,coastal,Unknown,provoked,1,snorkeling,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
84,1,1883,fatal,NSW,-33.85,151.15,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on body,['torso'],major lacerations,M,37.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
85,12,1883,fatal,NSW,-33.86666666666667,151.2,deep_coast,Unknown,unprovoked,1,swimming,[],bit victim on body,['torso'],major lacerations,M,21.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"86,12,1883,uninjured,NSW,-33.8,151.28333333333333,deep_coast,2.8,provoked,1,swimming,""['swimming', 'Nearby Horse']"",swam towards victim & horse ,['uninjured'],Unknown,M,Unknown,moved onto beach,Unknown,media outlet,bull shark (Carcharhinus leucas)"
87,1,1884,fatal,SA,-33.18333333333333,137.98333333333332,coastal,Unknown,unprovoked,2,swimming,[],sharks pulled victim underwater,['unrecovered_body'],Unknown,F,16.0,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
88,10,1885,uninjured,NSW,-33.81666666666667,151.05,river,Unknown,unprovoked,1,swimming,[],bit dress,['uninjured'],Unknown,F,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
89,11,1885,injured,WA,-33.31666666666667,115.63333333333334,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,['calf'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
90,1,1886,uninjured,QLD,-25.533333333333335,152.7,deep_coast,Unknown,unprovoked,1,swimming,['boating'],Unknown,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"91,4,1886,injured,QLD,-23.383333333333333,150.63333333333333,river,Unknown,unprovoked,1,swimming,[],bit victim on wrist,""['arm', 'hand']"",minor lacerations,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)"
92,2,1887,uninjured,NSW,-33.8,151.28333333333333,deep_coast,Unknown,unprovoked,Unknown,boating,[],circled sunken boat,['uninjured'],Unknown,M,Unknown,Unknown,1700.0,media outlet,whaler shark (Carcharhinidae)
"93,12,1887,fatal,NSW,-33.81666666666667,151.08333333333334,river,4.0,unprovoked,1,swimming,""['swimming', 'Nearby Dog']"",bit victim on body,""['torso', 'leg', 'pelvic region']"",major lacerations,M,25.0,Unknown,1130.0,media outlet,bull shark (Carcharhinus leucas)"
94,9,1888,injured,QLD,-19.85,145.4,island,Unknown,provoked,Unknown,snorkeling,[],Unknown,[],Unknown,M,Unknown,Unknown,Unknown,government report,tiger shark (Galeocerdo cuvier)
95,12,1888,fatal,NSW,-33.85,151.15,deep_coast,Unknown,unprovoked,1,swimming,['swimming'],bit victim on torso,['torso'],major lacerations,M,11.0,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
96,7,1889,fatal,VIC,-38.333333333333336,144.61666666666667,ocean,Unknown,unprovoked,1,swimming,[],bit victim,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,white shark (Carcharodon carcharias)
97,1,1890,injured,TAS,-42.733333333333334,147.23333333333332,river,3.0,unprovoked,1,swimming,[],bit victim on leg,['thigh'],major lacerations,M,Unknown,Unknown,Unknown,media outlet,broadnose sevengill shark (Notorynchus cepedianus)
98,4,1891,uninjured,NSW,-36.71666666666667,149.98333333333332,coastal,Unknown,provoked,1,diving,['metal_helmet'],bit lead shoe,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)
99,6,1891,injured,VIC,-38.333333333333336,144.31666666666666,coastal,2.1,provoked,1,snorkeling,[],swam towards diver,['arm'],minor lacerations,M,Unknown,grabbed shark around gills,Unknown,media outlet,wobbegong (Orectolobidae)
100,1,1892,fatal,QLD,-10.116666666666667,142.13333333333333,river,Unknown,provoked,1,diving,[],bit victim on torso,['torso'],major lacerations,M,Unknown,Unknown,Unknown,book,tiger shark (Galeocerdo cuvier)
101,3,1892,injured,QLD,-23.366666666666667,150.5,river,Unknown,unprovoked,1,swimming,[],bit victim on leg,['calf'],other: teeth marks,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
102,11,1892,injured,QLD,-27.45,153.21666666666667,coastal,Unknown,unprovoked,1,swimming,[],bit victim on leg,['leg'],other: teeth marks,F,Unknown,Unknown,Unknown,media outlet,whaler shark (Carcharhinidae)
103,12,1892,injured,QLD,-27.433333333333334,153.08333333333334,island,Unknown,unprovoked,1,swimming,[],grazed leg,['leg'],abrasion,M,Unknown,Unknown,Unknown,media outlet,bull shark (Carcharhinus leucas)
"104,1,1893,uninjured,WA,-28.766666666666666,114.6,coastal,Unknown,provoked,1,fishing,""['fishing', 'baiting']"",bit trouser leg,['uninjured'],Unknown,M,Unknown,Unknown,Unknown,media outlet,wobbegong (Orectolobidae)"
105,1,1893,fatal,QLD,-13.933333333333334,143.73333333333332,ocean,Unknown,unprovoked,1,swimming,[],Unknown,['unrecovered_body'],Unknown,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
106,4,1893,injured,QLD,-9.816666666666666,142.7,island,Unknown,unprovoked,1,swimming,['swimming'],bit victim on leg,['leg'],minor lacerations,M,Unknown,Unknown,Unknown,media outlet,tiger shark (Galeocerdo cuvier)
